SMILES,Kinetic solubility in PBS (uM),logS
CNCCCc1[nH]c2ccccc2c1CC(=O)O,209.6278228123585,-3.678551076211372
CCc1cnn(CCN(C)C)c(=O)c1C,209.5976038546685,-3.678613686567336
c1ccc2cc(-c3c[nH]cn3)ccc2c1,209.5046854083,-3.6788062599329314
COc1cccc(O)c1Cc1occc1C(=O)O,209.033814252139,-3.679783454772841
COc1ccc2cc(C(O)C(F)(F)F)ccc2c1,208.6911359025385,-3.6804959970791047
COc1cc(NS(C)(=O)=O)ccc1NC(C)=O,208.690047800634,-3.6804982614679718
Cc1c(Cc2occc2C(=O)NN)c(=O)[nH]n1C,208.6731961236115,-3.680533332071108
COc1ccc(-c2cc(NC(=O)NC3CCCCC3C)c(C(=O)O)s2)cc1,208.1495701688255,-3.681624481599207
CCN(CC)C(=O)Nc1c(-c2ccc(Cl)cc2)csc1C(=O)O,207.5502206665655,-3.682876800545058
O=C(O)CCCc1ccc(Cn2ccc(=O)[nH]c2=O)cc1,207.226407507558,-3.6835549018995835
FC(F)(F)c1cc(-c2ccccc2)nnc1NCCN1CCOCC1,206.6280449281825,-3.6848107334893947
O=C1CCCC(c2cccc([N+](=O)[O-])c2)=NN1CCN1CCOCC1,206.6081698776855,-3.6848525092314803
Cn1c(=O)sc2cc(CCNC(=O)C(F)(F)F)ccc21,206.4149241865405,-3.6852589056032383
COC(=O)c1cccc(Cn2c(SCC(=O)O)nc3c(N)ncnc32)c1,205.9413465108775,-3.6862564520276973
CCN(CC)C(=O)Nc1c(C)csc1C(=O)O,205.588171820428,-3.687001875381471
CCOC(=O)CN1N=C(c2ccc(OC)c(OC)c2)CCC1=O,204.9236901696805,-3.6884078321539837
c1ccc2c3c([nH]c2c1)C1CCCCN1CC3,204.630189439742,-3.6890302936937895
O=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)c2ccsc12,204.3114284052835,-3.689707339904336
c1ccc2c(c1)C(=[N+]1CCOCC1)c1cccn1-2,204.0231267552055,-3.690320600942254
COc1ccc(-c2csc(C(=O)O)c2NC(=O)NCCc2ccccc2)cc1OC,203.27556822233495,-3.6919148162652715
CC(=O)OCCOCn1c(=O)[nH]c(=O)c2scc(-c3ccc(F)cc3)c21,203.10310487616695,-3.6922834374013016
CCC(C)NC(=O)Nc1c(-c2ccc(OC)cc2)csc1C(=O)O,202.585140367392,-3.6933924133346707
O=C(O)CCCCCCCCC(=O)NC1CC(=O)c2sccc21,202.4963203805185,-3.6935828640688455
CCOC(=O)CCC(=O)c1ccc2[nH]ccc(=O)c2c1,201.0436448434285,-3.696709650753327
CC1N=CC(c2ccco2)=N1,200.7550156631055,-3.697333595500845
CCc1nc2c(N)nc(N)nc2[nH]1,200.732641922342,-3.6973819994404415
O=C(O)c1ccc(Nc2ccccc2C(=O)O)cc1,200.28840315725552,-3.6983441959416483
N#Cc1ccc(CN2NC(=O)C3Cc4ccccc4CN3C2=O)cc1,199.8068267066765,-3.699389677519495
COCC1CC=COC12OC(OCCO)c1cc3ccccc3nc12,199.772412758224,-3.6994644851494933
C=CCOc1nncc(-c2ccccc2)n1,199.4631737534985,-3.700137274974538
CC1OCC23CCC4C(CCC5CC(N)CCC54C)C2CCC13,199.288551367943,-3.7005176497216987
CN(C)CCCN1N=C(c2ccccc2)c2ccccc2CC1=O,199.112914596846,-3.7009005704283964
C#CCN(CC(=O)N1CCCCC1)C(C)=O,199.069466341369,-3.7009953477896267
CCC(C)NC(=O)Nc1cc(-c2cccs2)sc1C(=O)O,199.0530219008325,-3.70103122483751
O=C(Nc1ncc([N+](=O)[O-])s1)c1ccc(Cl)cc1Cl,198.9894889346975,-3.7011698633803523
S=c1[nH]cnc2[nH]ncc12,198.75468743959448,-3.7016826201298842
Cc1cc2c(NCc3ccccc3)ncnc2n1CCCO,198.75103306128,-3.7016906053047127
CCN(CC)CCNC(=O)C1CCCN1c1ccnc2cc(Cl)ccc12,198.698310617631,-3.7018058253539983
COc1ccc2[nH]c3c(C)cc(C(=O)O)c(C)c3c2c1,197.93326615423047,-3.703481208860371
O=S(Cc1ccccn1)c1nc(-c2ccncc2)c[nH]1,197.8904693793385,-3.703575121385481
N#Cc1cc(-c2cccc(C(F)(F)F)c2)nnc1NCCN1CCOCC1,197.80835578768895,-3.7037553669560332
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1sc2ccccc2c1O,197.720846878298,-3.703947538036347
CS(=O)(=O)Nc1cc(C(=O)c2ccccc2)ccc1O,197.37474573986,-3.704708416445825
